,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
0,264689062,03/07/2023,21:32:00,MANHATTAN,INSIDE,DWELLING,Y,45-64,M,BLACK,25-44,M,BLACK,POINT (-73.943363 40.829217),12428.0,2023-03-07 21:32:00
1,261444577,01/04/2023,21:13:00,MANHATTAN,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.937448 40.823875),13097.0,2023-01-04 21:13:00
2,264689064,03/07/2023,14:18:00,BROOKLYN,INSIDE,COMMERCIAL,N,<18,M,BLACK,18-24,M,BLACK,POINT (-74.004711 40.654033),13515.0,2023-03-07 14:18:00
3,265674098,03/25/2023,02:38:00,BRONX,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.88723401 40.84463555),11269.0,2023-03-25 02:38:00
4,261968807,01/13/2023,22:12:00,MANHATTAN,OUTSIDE,HOUSING,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.950569 40.79071),12426.0,2023-01-13 22:12:00
5,263399439,02/10/2023,16:55:00,BROOKLYN,OUTSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE,POINT (-73.999086 40.575042),18184.0,2023-02-10 16:55:00
6,265522984,03/22/2023,23:26:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE HISPANIC,POINT (-73.90493864 40.84337521),10935.0,2023-03-22 23:26:00
7,265643046,03/25/2023,03:00:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,F,BLACK,POINT (-73.75693158 40.66550398),15313.0,2023-03-25 03:00:00
8,265187031,03/15/2023,16:53:00,BROOKLYN,OUTSIDE,COMMERCIAL,Y,<18,M,BLACK HISPANIC,<18,M,BLACK,POINT (-73.916899 40.672053),13516.0,2023-03-15 16:53:00
9,263693794,02/15/2023,18:41:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.939299 40.670612),17615.0,2023-02-15 18:41:00
10,264775620,03/09/2023,01:40:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,POINT (-73.89338 40.864058),10936.0,2023-03-09 01:40:00
11,261964438,01/15/2023,23:23:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.93487298 40.67959248),17615.0,2023-01-15 23:23:00
12,263357861,02/09/2023,14:30:00,MANHATTAN,OUTSIDE,STREET,N,<18,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,POINT (-73.990157 40.713718),11723.0,2023-02-09 14:30:00
13,262205773,01/19/2023,11:31:00,MANHATTAN,OUTSIDE,STREET,N,<18,M,BLACK HISPANIC,18-24,M,BLACK,POINT (-73.954774 40.815425),12424.0,2023-01-19 11:31:00
14,263558473,02/13/2023,18:57:00,BRONX,INSIDE,DWELLING,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE HISPANIC,POINT (-73.8848 40.854253),10936.0,2023-02-13 18:57:00
15,265403527,03/20/2023,02:00:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.892433 40.656636),17214.0,2023-03-20 02:00:00
16,264262260,02/26/2023,18:06:00,QUEENS,OUTSIDE,HOUSING,N,25-44,M,BLACK,25-44,F,BLACK,POINT (-73.78363 40.685317),24669.0,2023-02-26 18:06:00
17,263429758,02/11/2023,02:32:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.919342 40.766689),16860.0,2023-02-11 02:32:00
18,263692952,02/15/2023,17:20:00,BRONX,OUTSIDE,STREET,Y,<18,M,BLACK,18-24,M,WHITE HISPANIC,POINT (-73.90462205 40.8473932),10935.0,2023-02-15 17:20:00
19,263211696,02/07/2023,04:34:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,ASIAN / PACIFIC ISLANDER,POINT (-73.87468 40.831826),11610.0,2023-02-07 04:34:00
20,262145575,01/18/2023,16:49:00,QUEENS,OUTSIDE,STREET,N,<18,M,BLACK,<18,F,BLACK,POINT (-73.744911 40.696395),15311.0,2023-01-18 16:49:00
21,263065673,02/04/2023,19:48:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.94646071 40.80066396),12426.0,2023-02-04 19:48:00
22,263889115,02/18/2023,21:05:00,BROOKLYN,OUTSIDE,STREET,N,18-24,M,BLACK,18-24,F,BLACK,POINT (-73.958987 40.665118),13509.0,2023-02-18 21:05:00
23,265124475,03/14/2023,09:49:00,MANHATTAN,OUTSIDE,STREET,N,18-24,M,BLACK,<18,M,BLACK,POINT (-73.983734 40.775738),12420.0,2023-03-14 09:49:00
24,265354835,03/19/2023,23:48:00,BRONX,INSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.850098 40.903785),11608.0,2023-03-19 23:48:00
25,263357365,02/07/2023,16:40:00,BROOKLYN,OUTSIDE,OTHER,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.947438 40.630373),17217.0,2023-02-07 16:40:00
26,264940966,03/10/2023,19:55:00,QUEENS,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,WHITE,POINT (-73.83816748 40.78918313),14191.0,2023-03-10 19:55:00
27,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
28,265291114,03/17/2023,16:20:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE HISPANIC,POINT (-73.78205 40.709526),24340.0,2023-03-17 16:20:00
29,261958837,01/15/2023,14:06:00,BROOKLYN,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.935732 40.693921),17213.0,2023-01-15 14:06:00
30,263692953,02/15/2023,06:00:00,QUEENS,OUTSIDE,DWELLING,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.852878 40.749434),14510.0,2023-02-15 06:00:00
31,265584225,03/23/2023,18:42:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.907529 40.662761),17614.0,2023-03-23 18:42:00
32,261843719,01/11/2023,21:15:00,QUEENS,INSIDE,DWELLING,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,F,WHITE HISPANIC,POINT (-73.906951 40.723879),14788.0,2023-01-11 21:15:00
33,262268556,01/20/2023,10:20:00,QUEENS,OUTSIDE,STREET,N,<18,M,BLACK,<18,M,BLACK,POINT (-73.815039 40.586619),20531.0,2023-01-20 10:20:00
34,263482956,02/12/2023,01:13:00,MANHATTAN,OUTSIDE,OTHER,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.940202 40.840472),13090.0,2023-02-12 01:13:00
35,264689065,03/07/2023,20:07:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE,POINT (-73.866056 40.859588),11605.0,2023-03-07 20:07:00
36,263349965,02/09/2023,17:37:00,MANHATTAN,OUTSIDE,STREET,Y,18-24,M,BLACK,18-24,M,BLACK,POINT (-73.98884266 40.75853318),13094.0,2023-02-09 17:37:00
37,265006011,03/11/2023,13:45:00,BROOKLYN,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.934961 40.649267),16866.0,2023-03-11 13:45:00
38,262747866,01/30/2023,22:50:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.831295 40.888503),11275.0,2023-01-30 22:50:00
39,265056548,03/13/2023,04:30:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.880406 40.829779),11610.0,2023-03-13 04:30:00
40,265744133,03/27/2023,11:08:00,BROOKLYN,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.979528 40.695772),17212.0,2023-03-27 11:08:00
41,265354835,03/19/2023,23:48:00,BRONX,INSIDE,COMMERCIAL,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.850098 40.903785),11608.0,2023-03-19 23:48:00
42,266069023,03/31/2023,22:25:00,QUEENS,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.911311 40.768408),16860.0,2023-03-31 22:25:00
43,261528414,01/07/2023,01:10:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK HISPANIC,POINT (-73.911672 40.83392),10934.0,2023-01-07 01:10:00
44,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,Y,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
45,265461076,03/21/2023,22:01:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.89588027 40.82099248),10937.0,2023-03-21 22:01:00
46,265246482,03/16/2023,22:08:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.929566 40.670507),17615.0,2023-03-16 22:08:00
47,265673021,03/25/2023,14:52:00,STATEN ISLAND,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-74.081663 40.61547),10691.0,2023-03-25 14:52:00
48,262334289,01/21/2023,04:00:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.884524 40.739221),14784.0,2023-01-21 04:00:00
49,264206295,02/25/2023,00:55:00,BROOKLYN,INSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,WHITE HISPANIC,POINT (-73.897168 40.667487),17214.0,2023-02-25 00:55:00
50,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,Y,45-64,M,WHITE HISPANIC,18-24,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
51,261307947,01/03/2023,01:47:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.916026 40.658126),17614.0,2023-01-03 01:47:00
52,265124473,03/13/2023,23:00:00,MANHATTAN,INSIDE,HOUSING,N,18-24,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,POINT (-73.947642 40.799045),12426.0,2023-03-13 23:00:00
53,261397465,01/04/2023,18:40:00,MANHATTAN,INSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE HISPANIC,POINT (-73.985418 40.718403),11723.0,2023-01-04 18:40:00
54,264266620,02/25/2023,22:58:00,BRONX,OUTSIDE,DWELLING,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.914272 40.83655),10934.0,2023-02-25 22:58:00
55,264417852,03/01/2023,12:50:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.851061 40.875237),11607.0,2023-03-01 12:50:00
